"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","97.20","94.50","100.10","94.50","0.55K","2.21%"
"Dec 30, 2019","95.10","97.40","97.75","93.25","0.85K","-2.36%"
"Dec 27, 2019","97.40","96.60","98.80","96.30","1.05K","0.83%"
"Dec 26, 2019","96.60","99.60","99.60","95.50","0.69K","-3.30%"
"Dec 25, 2019","99.90","99.90","99.90","99.90","-","0.05%"
"Dec 24, 2019","99.85","100.90","100.90","99.10","0.44K","-1.33%"
"Dec 23, 2019","101.20","100.70","101.50","100.35","1.34K","0.55%"
"Dec 20, 2019","100.65","99.80","101.00","99.60","1.59K","0.90%"
"Dec 19, 2019","99.75","97.75","99.90","97.60","1.57K","2.10%"
"Dec 18, 2019","97.70","97.25","98.15","97.10","1.39K","0.41%"
"Dec 17, 2019","97.30","98.05","98.25","96.65","2.93K","-0.87%"
"Dec 16, 2019","98.15","97.55","98.55","97.25","2.23K","0.82%"
"Dec 13, 2019","97.35","97.40","97.70","96.75","1.36K","-0.10%"
"Dec 12, 2019","97.45","98.40","98.50","97.10","0.89K","-0.81%"
"Dec 11, 2019","98.25","98.30","99.10","97.60","0.71K","-0.61%"
"Dec 10, 2019","98.85","97.55","99.05","97.15","1.30K","1.75%"
"Dec 09, 2019","97.15","95.55","97.40","95.00","1.59K","2.10%"
"Dec 06, 2019","95.15","95.80","95.95","94.75","1.21K","-0.63%"
"Dec 05, 2019","95.75","95.95","96.60","95.50","1.00K","0.31%"
"Dec 04, 2019","95.45","97.20","97.50","95.25","1.14K","-1.24%"
"Dec 03, 2019","96.65","96.30","98.20","96.25","1.38K","0.21%"
"Dec 02, 2019","96.45","98.60","98.90","96.25","1.51K","-2.18%"
"Nov 29, 2019","98.60","99.55","100.00","98.50","0.40K","-1.20%"
"Nov 27, 2019","99.80","100.00","100.30","99.35","0.46K","0.05%"
"Nov 26, 2019","99.75","99.55","100.25","99.30","0.65K","0.20%"
"Nov 25, 2019","99.55","98.50","99.80","98.35","0.50K","1.43%"
"Nov 22, 2019","98.15","98.15","99.15","98.10","0.41K","0.05%"
"Nov 21, 2019","98.10","99.30","100.00","98.00","0.44K","-1.31%"
"Nov 20, 2019","99.40","98.00","99.70","97.90","0.45K","1.27%"
"Nov 19, 2019","98.15","98.50","98.50","97.50","0.53K","-0.41%"
"Nov 18, 2019","98.55","100.55","100.70","98.15","0.73K","-1.94%"
"Nov 15, 2019","100.50","100.30","100.50","100.00","0.32K","0.05%"
"Nov 14, 2019","100.45","100.00","100.55","99.10","0.42K","0.35%"
"Nov 13, 2019","100.10","98.70","100.15","98.25","0.53K","1.57%"
"Nov 12, 2019","98.55","98.30","98.95","97.00","0.64K","0.46%"
"Nov 11, 2019","98.10","100.70","101.65","97.60","0.86K","-2.56%"
"Nov 08, 2019","100.68","99.25","100.68","99.00","-","4.82%"
"Nov 07, 2019","96.05","96.95","96.95","96.95","0.21K","-3.42%"
"Nov 06, 2019","99.45","100.43","100.80","99.05","-","-1.04%"
"Nov 05, 2019","100.50","100.03","100.60","99.60","-","5.57%"
"Nov 04, 2019","95.20","95.00","95.95","95.00","0.01K","0.05%"
"Nov 01, 2019","95.15","96.00","96.00","96.00","0.01K","-0.73%"
"Oct 31, 2019","95.85","94.65","96.40","93.60","0.28K","0.79%"
"Oct 30, 2019","95.10","94.80","95.45","92.60","0.76K","0.42%"
"Oct 29, 2019","94.70","94.10","95.00","93.40","0.94K","1.39%"
"Oct 28, 2019","93.40","98.15","98.80","93.05","1.04K","-4.74%"
"Oct 25, 2019","98.05","97.65","98.55","96.75","0.75K","0.26%"
"Oct 24, 2019","97.80","98.10","99.00","97.50","0.73K","-0.41%"
"Oct 23, 2019","98.20","97.65","98.60","97.40","0.97K","0.26%"
"Oct 22, 2019","97.95","98.35","98.70","97.65","1.33K","-0.20%"
"Oct 21, 2019","98.15","99.35","100.15","97.85","1.48K","-1.21%"
"Oct 18, 2019","99.35","99.55","99.90","98.60","1.59K","-0.45%"
